,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
0,500000.0,200.0,4.0,1,True,True,0,2.46,0,1,3.0,0,1,True,0,0,0,0,1,0,0,True,0,0,0,True,0,1,0,0,0,0,0,True,0,0,0,0,0,0
1,500000.0,198.0,4.0,1,True,True,0,2.46,1,1,3.5,0,1,True,0,0,0,1,0,0,1,False,0,0,0,True,0,0,0,0,0,0,1,False,0,0,1,0,0,0
2,500000.0,200.0,4.0,1,True,True,1,2.46,0,0,3.2,0,1,True,0,0,0,1,0,0,0,True,1,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
3,400000.0,170.0,4.0,1,True,True,1,1.99,0,0,3.2,0,1,True,0,0,0,1,0,0,0,True,1,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
4,225000.0,58.0,2.0,1,True,True,0,1.67,1,0,3.9,0,0,False,0,1,0,1,0,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
5,470000.0,92.0,3.0,1,True,True,0,2.51,0,1,2.99,0,0,True,0,0,0,0,1,0,0,False,1,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
6,350000.0,213.0,5.0,1,True,False,0,0.75,1,0,3.2,0,0,False,0,0,0,1,0,0,0,True,1,0,0,True,1,0,0,0,0,0,1,True,0,0,0,0,0,0
7,250000.0,98.0,3.0,1,True,True,0,1.95,0,0,3.2,0,1,True,0,0,0,0,1,0,0,False,0,1,0,False,0,1,0,0,0,0,1,True,0,0,1,0,0,0
8,130000.0,120.0,3.0,1,True,False,0,2.19,0,0,3.0,0,0,True,0,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
9,290000.0,170.0,4.0,1,True,True,1,1.65,0,0,3.2,0,1,True,0,0,0,1,0,0,0,True,1,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
10,100000.0,80.0,3.0,1,False,True,0,2.27,0,0,2.99,0,0,True,0,0,0,1,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11,200000.0,100.0,3.0,1,True,True,0,1.84,1,1,2.99,0,0,True,0,0,0,0,0,0,0,True,0,1,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
12,500000.0,180.0,5.0,1,True,True,0,2.06,1,1,2.99,0,0,True,0,0,0,0,0,0,0,True,0,0,0,True,0,1,0,0,0,0,0,True,0,0,1,0,0,1
13,450000.0,222.2,5.0,0,True,False,0,1.32,1,0,2.99,0,1,False,0,0,0,0,0,0,0,False,0,0,0,True,0,1,0,0,0,0,1,False,1,0,0,0,0,0
14,450000.0,225.0,5.0,0,False,False,0,1.32,0,1,2.99,0,0,False,0,0,0,0,1,0,0,False,0,0,0,False,0,1,0,0,0,0,0,False,1,0,0,0,0,0
15,120000.0,30.0,2.0,1,True,True,0,1.67,0,0,2.99,0,0,True,0,0,0,0,1,0,0,True,1,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
16,450000.0,222.0,5.0,1,True,True,0,1.32,0,1,2.99,0,0,True,0,0,0,0,1,0,0,False,1,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
17,180000.0,150.0,5.0,1,True,False,0,1.5,1,0,2.99,0,0,False,0,0,0,0,0,0,0,True,0,0,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
18,190000.0,201.0,5.0,0,True,True,1,1.34,0,0,3.2,0,0,True,0,0,0,1,0,0,0,True,1,0,0,True,0,0,0,0,0,0,1,True,1,0,0,0,0,0
19,205000.0,64.0,2.0,1,True,True,0,1.67,1,0,2.99,0,0,True,0,0,0,0,0,0,0,False,1,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
20,230000.0,112.0,3.0,0,True,False,0,1.49,1,0,3.2,0,1,True,0,0,0,1,0,0,0,True,1,0,0,True,0,0,0,0,0,0,1,False,1,0,0,0,0,0
21,590000.0,190.0,4.0,1,True,True,0,2.13,0,1,2.99,0,0,False,0,0,0,0,1,0,0,False,1,0,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,0
22,190000.0,186.0,5.0,1,True,True,0,1.34,1,0,3.3,0,0,True,0,0,0,1,0,0,0,False,0,0,0,True,0,0,0,0,0,0,0,True,0,0,0,1,0,0
23,200000.0,100.0,3.0,1,True,True,0,1.24,1,0,3.2,0,0,True,0,0,0,1,0,0,0,True,1,0,0,True,1,0,0,0,0,0,1,True,0,0,0,0,0,0
24,200000.0,150.0,5.0,1,True,True,0,1.5,1,0,2.99,0,0,True,0,0,0,0,0,0,0,False,1,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
25,300000.0,140.0,5.0,1,True,False,0,1.96,0,1,2.99,0,0,False,0,0,0,0,1,0,0,False,1,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
26,400000.0,132.8,3.0,1,True,True,0,2.42,1,0,2.99,0,0,True,0,0,0,0,0,0,0,True,0,0,0,True,0,1,0,0,0,0,1,True,0,0,0,0,0,0
27,350000.0,112.0,3.0,1,True,True,0,2.42,0,0,3.15,0,1,False,0,0,0,0,0,0,1,True,0,0,1,True,0,0,1,0,0,0,1,False,0,0,0,0,0,0
